sample_name,source_dataset,original_database_id,original_id,eval_id,query_id,original_url,original_url_note,formula,ideal_chemistry,target_formula_key,space_group,crystal_system,target_phase_id,formula_group_id,candidate_source_origin,fit_status,fit_rwp_percent,fit_peak_window_rwp,fit_peak_window_pearson,fit_matched_peak_fraction,fit_background_fraction,warning_flags,public_spectrum_path,public_cif_path
Al2O3_167,RRUFF,RRUFF:R060020-1,R060020-1,RRUFF:R060020-1,rruff__R060020-1,https://rruff.info/R060020,inferred_from_rruff_id,Al2O3,Al2O3,Al2O3,167,trigonal_hex,rruff_amcsd_0009325,Al2|O3::sg::167,rruff,fit_quality_filtered,26.257958244816827,19.032257431869365,0.9934757315791596,1.0,0.5571789631643232,[],real_spectra/Al2O3_167/Al2O3_167.xy,real_spectra/Al2O3_167/Al2O3_167.cif
Al2PO7_12,RRUFF,RRUFF:R050100-1,R050100-1,RRUFF:R050100-1,rruff__R050100-1,https://rruff.info/R050100,inferred_from_rruff_id,Al2PO7,Al2PO7,Al2PO7,12,monoclinic,rruff_amcsd_0000177,Al2|O7|P1::sg::12,rruff,fit_quality_filtered,11.140544664536845,15.446070104443251,0.9885978407848028,0.875,0.43445209784321753,[],real_spectra/Al2PO7_12/Al2PO7_12.xy,real_spectra/Al2PO7_12/Al2PO7_12.cif
Al2PO8_33,RRUFF,RRUFF:R050239-1,R050239-1,RRUFF:R050239-1,rruff__R050239-1,https://rruff.info/R050239,inferred_from_rruff_id,Al2PO8,Al2PO8,Al2PO8,33,orthorhombic,rruff_amcsd_0000752,Al2|O8|P1::sg::33,rruff,fit_quality_filtered,25.46647745491517,25.376716244849817,0.9831732652360338,0.875,0.4000938750463956,[],real_spectra/Al2PO8_33/Al2PO8_33.xy,real_spectra/Al2PO8_33/Al2PO8_33.cif
Al2Si(O2F)2_62,RRUFF,RRUFF:R050176-1,R050176-1,RRUFF:R050176-1,rruff__R050176-1,https://rruff.info/R050176,inferred_from_rruff_id,Al2Si(O2F)2,Al2Si(O2F)2,Al2Si(O2F)2,62,orthorhombic,rruff_amcsd_0001642,Al2|F2|O4|Si1::sg::62,rruff,fit_quality_filtered,13.219800039330254,17.90982167068586,0.984713644753691,0.75,0.0926427201239188,[],real_spectra/Al2Si(O2F)2_62/Al2Si(O2F)2_62.xy,real_spectra/Al2Si(O2F)2_62/Al2Si(O2F)2_62.cif
Al2SiO5_2,RRUFF,RRUFF:R040119-1,R040119-1,RRUFF:R040119-1,rruff__R040119-1,https://rruff.info/R040119,inferred_from_rruff_id,Al2SiO5,Al2SiO5,Al2SiO5,2,triclinic,rruff_amcsd_0000733,Al2|O5|Si1::sg::2,rruff,fit_quality_filtered,36.642534037449046,40.45507625618458,0.9183015888959802,0.875,0.5742175057494913,[],real_spectra/Al2SiO5_2/Al2SiO5_2.xy,real_spectra/Al2SiO5_2/Al2SiO5_2.cif
Al2SiO5_58,RRUFF,RRUFF:R050449-1,R050449-1,RRUFF:R050449-1,rruff__R050449-1,https://rruff.info/R050449,inferred_from_rruff_id,Al2SiO5,Al2SiO5,Al2SiO5,58,orthorhombic,rruff_amcsd_0000728,Al2|O5|Si1::sg::58,rruff,fit_quality_filtered,30.451137251826378,31.123250613292686,0.9294948778291187,0.75,0.42024477922468745,[],real_spectra/Al2SiO5_58/Al2SiO5_58.xy,real_spectra/Al2SiO5_58/Al2SiO5_58.cif
Al2SiO5_62,RRUFF,RRUFF:R060080-1,R060080-1,RRUFF:R060080-1,rruff__R060080-1,https://rruff.info/R060080,inferred_from_rruff_id,Al2SiO5,Al2SiO5,Al2SiO5,62,orthorhombic,rruff_amcsd_0000723,Al2|O5|Si1::sg::62,rruff,fit_quality_filtered,27.628542777454296,27.335864345133537,0.9864017982101835,0.875,0.3970163024714971,[],real_spectra/Al2SiO5_62/Al2SiO5_62.xy,real_spectra/Al2SiO5_62/Al2SiO5_62.cif
Al2ZnO4_227,RRUFF,RRUFF:R040027-1,R040027-1,RRUFF:R040027-1,rruff__R040027-1,https://rruff.info/R040027,inferred_from_rruff_id,Al2ZnO4,Al2ZnO4,Al2ZnO4,227,cubic,rruff_amcsd_0004939,Al2|O4|Zn1::sg::227,rruff,fit_quality_filtered,27.757518023323964,40.51002962601798,0.9374819345419061,0.875,0.6781697896629817,[],real_spectra/Al2ZnO4_227/Al2ZnO4_227.xy,real_spectra/Al2ZnO4_227/Al2ZnO4_227.cif
Al4Os4SO14_4,RRUFF,RRUFF:R060565-1,R060565-1,RRUFF:R060565-1,rruff__R060565-1,https://rruff.info/R060565,inferred_from_rruff_id,Al4Os4SO14,Al4Os4SO14,Al4Os4SO14,4,monoclinic,rruff_amcsd_0011981,Al4|O14|Os4|S1::sg::4,rruff,fit_quality_filtered,27.6965007212184,27.49675760787494,0.7871855958850981,0.625,0.8548248981430141,[],real_spectra/Al4Os4SO14_4/Al4Os4SO14_4.xy,real_spectra/Al4Os4SO14_4/Al4Os4SO14_4.cif
Al4P3(HO5)3_15,RRUFF,RRUFF:R050425-1,R050425-1,RRUFF:R050425-1,rruff__R050425-1,https://rruff.info/R050425,inferred_from_rruff_id,Al4P3(HO5)3,Al4P3(HO5)3,Al4P3(HO5)3,15,monoclinic,rruff_amcsd_0000415,Al4|H3|O15|P3::sg::15,rruff,fit_quality_filtered,25.768598108832236,26.190143891797295,0.9458950020670542,0.75,0.5753109612935671,[],real_spectra/Al4P3(HO5)3_15/Al4P3(HO5)3_15.xy,real_spectra/Al4P3(HO5)3_15/Al4P3(HO5)3_15.cif
Al6B5(O5F)3_176,RRUFF,RRUFF:R060533-1,R060533-1,RRUFF:R060533-1,rruff__R060533-1,https://rruff.info/R060533,inferred_from_rruff_id,Al6B5(O5F)3,Al6B5(O5F)3,Al6B5(O5F)3,176,hexagonal,rruff_amcsd_0010860,Al6|B5|F3|O15::sg::176,rruff,fit_quality_filtered,40.301947803846744,50.3564215210417,0.8639658619910835,0.875,0.6766221389182643,[],real_spectra/Al6B5(O5F)3_176/Al6B5(O5F)3_176.xy,real_spectra/Al6B5(O5F)3_176/Al6B5(O5F)3_176.cif
AlAs(H2O3)2_61,RRUFF,RRUFF:R060409-1,R060409-1,RRUFF:R060409-1,rruff__R060409-1,https://rruff.info/R060409,inferred_from_rruff_id,AlAs(H2O3)2,AlAs(H2O3)2,AlAs(H2O3)2,61,orthorhombic,rruff_amcsd_0010322,Al1|As1|H4|O6::sg::61,rruff,fit_quality_filtered,17.010113375270937,16.7700543319154,0.9882812533598048,1.0,0.6150635671141698,[],real_spectra/AlAs(H2O3)2_61/AlAs(H2O3)2_61.xy,real_spectra/AlAs(H2O3)2_61/AlAs(H2O3)2_61.cif
AlCu2AsO12_15,RRUFF,RRUFF:R050535-1,R050535-1,RRUFF:R050535-1,rruff__R050535-1,https://rruff.info/R050535,inferred_from_rruff_id,AlCu2AsO12,AlCu2AsO12,AlCu2AsO12,15,monoclinic,rruff_amcsd_0010249,Al1|As1|Cu2|O12::sg::15,rruff,fit_quality_filtered,16.570944665857024,17.189343436872488,0.9613398839608178,0.875,0.7527408718587124,[],real_spectra/AlCu2AsO12_15/AlCu2AsO12_15.xy,real_spectra/AlCu2AsO12_15/AlCu2AsO12_15.cif
AlCuH28S2ClO22_2,RRUFF,RRUFF:R060751-1,R060751-1,RRUFF:R060751-1,rruff__R060751-1,https://rruff.info/R060751,inferred_from_rruff_id,AlCuH28S2ClO22,AlCuH28S2ClO22,AlCuH28S2ClO22,2,triclinic,rruff_amcsd_0009692,Al1|Cl1|Cu1|H28|O22|S2::sg::2,rruff,fit_quality_filtered,30.434831373791347,31.28058358405996,0.5013854720079316,0.75,0.7010034313674556,[],real_spectra/AlCuH28S2ClO22_2/AlCuH28S2ClO22_2.xy,real_spectra/AlCuH28S2ClO22_2/AlCuH28S2ClO22_2.cif
AlH16(C3O7)2_142,RRUFF,RRUFF:R070574-1,R070574-1,RRUFF:R070574-1,rruff__R070574-1,https://rruff.info/R070574,inferred_from_rruff_id,AlH16(C3O7)2,AlH16(C3O7)2,AlH16(C3O7)2,142,tetragonal,rruff_amcsd_0013713,Al1|C6|H16|O14::sg::142,rruff,fit_quality_filtered,30.809514963412365,37.897913205947226,0.9054405996668852,0.875,0.7506898809966146,[],real_spectra/AlH16(C3O7)2_142/AlH16(C3O7)2_142.xy,real_spectra/AlH16(C3O7)2_142/AlH16(C3O7)2_142.cif
AlP(H2O3)2_14,RRUFF,RRUFF:R050461-1,R050461-1,RRUFF:R050461-1,rruff__R050461-1,https://rruff.info/R050461,inferred_from_rruff_id,AlP(H2O3)2,AlP(H2O3)2,AlP(H2O3)2,14,monoclinic,rruff_amcsd_0009488,Al1|H4|O6|P1::sg::14,rruff,fit_quality_filtered,37.018236062263945,31.376599236957553,0.9747970523590553,0.875,0.6042820524623951,[],real_spectra/AlP(H2O3)2_14/AlP(H2O3)2_14.xy,real_spectra/AlP(H2O3)2_14/AlP(H2O3)2_14.cif
As2O3_227,RRUFF,RRUFF:R050383-1,R050383-1,RRUFF:R050383-1,rruff__R050383-1,https://rruff.info/R050383,inferred_from_rruff_id,As2O3,As2O3,As2O3,227,cubic,rruff_amcsd_0011094,As2|O3::sg::227,rruff,fit_quality_filtered,17.41046189245676,12.218284496370515,0.9979486159285799,1.0,0.6317956133575797,[],real_spectra/As2O3_227/As2O3_227.xy,real_spectra/As2O3_227/As2O3_227.cif
As2S3_1,opXRD,opXRD:000277,277,opXRD:000277,opxrd__000277,,not_recorded_in_manifest,As2S3,As2S3,As2S3,1,triclinic,opxrd_000089,As2|S3::sg::1,opxrd,fit_quality_filtered,0.8312952644986349,0.9105477412017908,0.9999825864686237,0.5,0.10800750936881129,"[""marginal_peak_match""]",real_spectra/As2S3_1/As2S3_1.xy,real_spectra/As2S3_1/As2S3_1.cif
As4(Pb3S5)3_160,RRUFF,RRUFF:R050365-1,R050365-1,RRUFF:R050365-1,rruff__R050365-1,https://rruff.info/R050365,inferred_from_rruff_id,As4(Pb3S5)3,As4(Pb3S5)3,As4(Pb3S5)3,160,trigonal_hex,rruff_amcsd_0010673,As4|Pb9|S15::sg::160,rruff,fit_quality_filtered,27.046293439261998,26.889003753542667,0.8805112614951407,0.875,0.61255169025159,[],real_spectra/As4(Pb3S5)3_160/As4(Pb3S5)3_160.xy,real_spectra/As4(Pb3S5)3_160/As4(Pb3S5)3_160.cif
AsS_14,RRUFF,RRUFF:R060107-1,R060107-1,RRUFF:R060107-1,rruff__R060107-1,https://rruff.info/R060107,inferred_from_rruff_id,AsS,AsS,AsS,14,monoclinic,rruff_amcsd_0003933,As1|S1::sg::14,rruff,fit_quality_filtered,20.766069301628505,20.373172014135633,0.9294750779126804,0.875,0.6454549988700008,[],real_spectra/AsS_14/AsS_14.xy,real_spectra/AsS_14/AsS_14.cif
Au_225,RRUFF,RRUFF:R070279-1,R070279-1,RRUFF:R070279-1,rruff__R070279-1,https://rruff.info/R070279,inferred_from_rruff_id,Au,Au,Au,225,cubic,rruff_amcsd_0011140,Au1::sg::225,rruff,fit_quality_filtered,26.429560687144154,30.489366035303945,0.972104708576526,1.0,0.581938193111553,[],real_spectra/Au_225/Au_225.xy,real_spectra/Au_225/Au_225.cif
BaBeSiO4_1,opXRD,opXRD:000599,599,opXRD:000599,opxrd__000599,,not_recorded_in_manifest,BaBeSiO4,BaBeSiO4,BaBeSiO4,1,triclinic,opxrd_000356,Ba1|Be1|O4|Si1::sg::1,opxrd,fit_quality_filtered,2.9315333283847838,3.354615922172359,0.9997595268948507,0.5,0.09238716745507523,"[""marginal_peak_match""]",real_spectra/BaBeSiO4_1/BaBeSiO4_1.xy,real_spectra/BaBeSiO4_1/BaBeSiO4_1.cif
BaCa(CO2)2_1,opXRD,opXRD:000192,192,opXRD:000192,opxrd__000192,,not_recorded_in_manifest,BaCa(CO2)2,BaCa(CO2)2,BaCa(CO2)2,1,triclinic,opxrd_000192,Ba1|C2|Ca1|O4::sg::1,opxrd,fit_quality_filtered,2.8856556283948955,3.207371630250934,0.9997634331384204,0.5,0.0657496177037944,"[""marginal_peak_match""]",real_spectra/BaCa(CO2)2_1/BaCa(CO2)2_1.xy,real_spectra/BaCa(CO2)2_1/BaCa(CO2)2_1.cif
BaSO4_62,RRUFF,RRUFF:R040036-1,R040036-1,RRUFF:R040036-1,rruff__R040036-1,https://rruff.info/R040036,inferred_from_rruff_id,BaSO4,BaSO4,BaSO4,62,orthorhombic,rruff_amcsd_0000164,Ba1|O4|S1::sg::62,rruff,fit_quality_filtered,27.517552222587526,25.656366584511325,0.9729806685291167,0.875,0.4005627076786491,[],real_spectra/BaSO4_62/BaSO4_62.xy,real_spectra/BaSO4_62/BaSO4_62.cif
BaSi2O5_62,RRUFF,RRUFF:R050001-1,R050001-1,RRUFF:R050001-1,rruff__R050001-1,https://rruff.info/R050001,inferred_from_rruff_id,BaSi2O5,BaSi2O5,BaSi2O5,62,orthorhombic,rruff_amcsd_0000085,Ba1|O5|Si2::sg::62,rruff,fit_quality_filtered,42.56039275177953,37.99908229007241,0.952238428799696,0.75,0.5229218996251884,[],real_spectra/BaSi2O5_62/BaSi2O5_62.xy,real_spectra/BaSi2O5_62/BaSi2O5_62.cif
Be2BHO4_61,RRUFF,RRUFF:R050672-1,R050672-1,RRUFF:R050672-1,rruff__R050672-1,https://rruff.info/R050672,inferred_from_rruff_id,Be2BHO4,Be2BHO4,Be2BHO4,61,orthorhombic,rruff_amcsd_0005470,B1|Be2|H1|O4::sg::61,rruff,fit_quality_filtered,33.39766501227967,39.84206353067377,0.8909589028605022,0.875,0.7218707253964753,[],real_spectra/Be2BHO4_61/Be2BHO4_61.xy,real_spectra/Be2BHO4_61/Be2BHO4_61.cif
Be2PO9_15,RRUFF,RRUFF:R070480-1,R070480-1,RRUFF:R070480-1,rruff__R070480-1,https://rruff.info/R070480,inferred_from_rruff_id,Be2PO9,Be2PO9,Be2PO9,15,monoclinic,rruff_amcsd_0011025,Be2|O9|P1::sg::15,rruff,fit_quality_filtered,17.788748256931093,16.779272141925457,0.9838501378829199,1.0,0.8490283068900455,[],real_spectra/Be2PO9_15/Be2PO9_15.xy,real_spectra/Be2PO9_15/Be2PO9_15.cif
Be2SiO4_148,RRUFF,RRUFF:R040046-1,R040046-1,RRUFF:R040046-1,rruff__R040046-1,https://rruff.info/R040046,inferred_from_rruff_id,Be2SiO4,Be2SiO4,Be2SiO4,148,trigonal_hex,rruff_amcsd_0001110,Be2|O4|Si1::sg::148,rruff,fit_quality_filtered,23.377284296737603,23.591152254750387,0.9783968685199765,0.875,0.49711433387956755,[],real_spectra/Be2SiO4_148/Be2SiO4_148.xy,real_spectra/Be2SiO4_148/Be2SiO4_148.cif
Be3Al2(SiO3)6_192,RRUFF,RRUFF:R050121-1,R050121-1,RRUFF:R050121-1,rruff__R050121-1,https://rruff.info/R050121,inferred_from_rruff_id,Be3Al2(SiO3)6,Be3Al2(SiO3)6,Be3Al2(SiO3)6,192,hexagonal,rruff_amcsd_0001040,Al2|Be3|O18|Si6::sg::192,rruff,fit_quality_filtered,11.800676499373662,16.67151917078972,0.9867544375397198,0.875,0.3925784846816074,[],real_spectra/Be3Al2(SiO3)6_192/Be3Al2(SiO3)6_192.xy,real_spectra/Be3Al2(SiO3)6_192/Be3Al2(SiO3)6_192.cif
BeAl2O4_62,RRUFF,RRUFF:R040073-1,R040073-1,RRUFF:R040073-1,rruff__R040073-1,https://rruff.info/R040073,inferred_from_rruff_id,BeAl2O4,BeAl2O4,BeAl2O4,62,orthorhombic,rruff_amcsd_0000124,Al2|Be1|O4::sg::62,rruff,fit_quality_filtered,21.50594762145123,21.59440755253815,0.9691465984874866,1.0,0.5753117609632228,[],real_spectra/BeAl2O4_62/BeAl2O4_62.xy,real_spectra/BeAl2O4_62/BeAl2O4_62.cif
BeAlSiO2_1,opXRD,opXRD:000996,996,opXRD:000996,opxrd__000996,,not_recorded_in_manifest,BeAlSiO2,BeAlSiO2,BeAlSiO2,1,triclinic,opxrd_000996,Al1|Be1|O2|Si1::sg::1,opxrd,fit_quality_filtered,7.819525532948286,11.098412358790595,0.9968148791839376,0.5,0.5160598523110532,[],real_spectra/BeAlSiO2_1/BeAlSiO2_1.xy,real_spectra/BeAlSiO2_1/BeAlSiO2_1.cif
Bi2CO5_44,RRUFF,RRUFF:R060665-1,R060665-1,RRUFF:R060665-1,rruff__R060665-1,https://rruff.info/R060665,inferred_from_rruff_id,Bi2CO5,Bi2CO5,Bi2CO5,44,orthorhombic,rruff_amcsd_0005770,Bi2|C1|O5::sg::44,rruff,fit_quality_filtered,29.27908343664613,25.38023392976541,0.9627411002563055,0.875,0.4655760299857395,[],real_spectra/Bi2CO5_44/Bi2CO5_44.xy,real_spectra/Bi2CO5_44/Bi2CO5_44.cif
Bi2WO6_29,RRUFF,RRUFF:R060860-1,R060860-1,RRUFF:R060860-1,rruff__R060860-1,https://rruff.info/R060860,inferred_from_rruff_id,Bi2WO6,Bi2WO6,Bi2WO6,29,orthorhombic,rruff_amcsd_0014496,Bi2|O6|W1::sg::29,rruff,fit_quality_filtered,36.34641348476988,30.000019794460513,0.9234170173530376,0.5,0.6833314890373426,[],real_spectra/Bi2WO6_29/Bi2WO6_29.xy,real_spectra/Bi2WO6_29/Bi2WO6_29.cif
C_1,opXRD,opXRD:000169,169,opXRD:000169,opxrd__000169,,not_recorded_in_manifest,C,C,C,1,triclinic,opxrd_000169,C1::sg::1,opxrd,fit_quality_filtered,1.0861121135705814,1.1327920181743303,0.9999748509789451,0.5,1000000000.0,"[""marginal_peak_match""]",real_spectra/C_1/C_1.xy,real_spectra/C_1/C_1.cif
Ca(BO4)3_14,RRUFF,RRUFF:R050157-1,R050157-1,RRUFF:R050157-1,rruff__R050157-1,https://rruff.info/R050157,inferred_from_rruff_id,Ca(BO4)3,Ca(BO4)3,Ca(BO4)3,14,monoclinic,rruff_amcsd_0009226,B3|Ca1|O12::sg::14,rruff,fit_quality_filtered,11.190062607935067,15.332655761508981,0.9874780940238256,0.75,0.3135858886371528,[],real_spectra/Ca(BO4)3_14/Ca(BO4)3_14.xy,real_spectra/Ca(BO4)3_14/Ca(BO4)3_14.cif
Ca13Si10H12(O17F5)2_148,RRUFF,RRUFF:R060150-1,R060150-1,RRUFF:R060150-1,rruff__R060150-1,https://rruff.info/R060150,inferred_from_rruff_id,Ca13Si10H12(O17F5)2,Ca13Si10H12(O17F5)2,Ca13Si10H12(O17F5)2,148,trigonal_hex,rruff_amcsd_0014639,Ca13|F10|H12|O34|Si10::sg::148,rruff,fit_quality_filtered,8.00315190123515,11.357098944708872,0.9958883322196659,1.0,0.11764110715388022,[],real_spectra/Ca13Si10H12(O17F5)2_148/Ca13Si10H12(O17F5)2_148.xy,real_spectra/Ca13Si10H12(O17F5)2_148/Ca13Si10H12(O17F5)2_148.cif
Ca2Al2SiO7_113,RRUFF,RRUFF:R060841-1,R060841-1,RRUFF:R060841-1,rruff__R060841-1,https://rruff.info/R060841,inferred_from_rruff_id,Ca2Al2SiO7,Ca2Al2SiO7,Ca2Al2SiO7,113,tetragonal,rruff_amcsd_0017917,Al2|Ca2|O7|Si1::sg::113,rruff,fit_quality_filtered,29.882974237509774,37.89776693860159,0.8548358425078657,0.75,0.8313232639112323,[],real_spectra/Ca2Al2SiO7_113/Ca2Al2SiO7_113.xy,real_spectra/Ca2Al2SiO7_113/Ca2Al2SiO7_113.cif
Ca2Al3Si3HO13_11,RRUFF,RRUFF:R060284-1,R060284-1,RRUFF:R060284-1,rruff__R060284-1,https://rruff.info/R060284,inferred_from_rruff_id,Ca2Al3Si3HO13,Ca2Al3Si3HO13,Ca2Al3Si3HO13,11,monoclinic,rruff_amcsd_0000185,Al3|Ca2|H1|O13|Si3::sg::11,rruff,fit_quality_filtered,21.82708852454982,21.794610907974768,0.9040688305774501,0.75,0.7633778383424265,[],real_spectra/Ca2Al3Si3HO13_11/Ca2Al3Si3HO13_11.xy,real_spectra/Ca2Al3Si3HO13_11/Ca2Al3Si3HO13_11.cif
Ca2Mn(PO5)2_2,RRUFF,RRUFF:R050539-1,R050539-1,RRUFF:R050539-1,rruff__R050539-1,https://rruff.info/R050539,inferred_from_rruff_id,Ca2Mn(PO5)2,Ca2Mn(PO5)2,Ca2Mn(PO5)2,2,triclinic,rruff_amcsd_0009374,Ca2|Mn1|O10|P2::sg::2,rruff,fit_quality_filtered,23.175634653514514,30.02826691095401,0.6900052948832153,0.875,0.8729948583506797,[],real_spectra/Ca2Mn(PO5)2_2/Ca2Mn(PO5)2_2.xy,real_spectra/Ca2Mn(PO5)2_2/Ca2Mn(PO5)2_2.cif
Ca2Nb2O7_227,RRUFF,RRUFF:R060151-1,R060151-1,RRUFF:R060151-1,rruff__R060151-1,https://rruff.info/R060151,inferred_from_rruff_id,Ca2Nb2O7,Ca2Nb2O7,Ca2Nb2O7,227,cubic,rruff_amcsd_0018022,Ca2|Nb2|O7::sg::227,rruff,fit_quality_filtered,10.768191488948645,15.790698905860124,0.9939831093215756,1.0,0.5803735966783352,[],real_spectra/Ca2Nb2O7_227/Ca2Nb2O7_227.xy,real_spectra/Ca2Nb2O7_227/Ca2Nb2O7_227.cif
Ca2Si3PbO9_1,opXRD,opXRD:000184,184,opXRD:000184,opxrd__000184,,not_recorded_in_manifest,Ca2Si3PbO9,Ca2Si3PbO9,Ca2Si3PbO9,1,triclinic,opxrd_000184,Ca2|O9|Pb1|Si3::sg::1,opxrd,fit_quality_filtered,2.4472719838196677,3.1887343878330645,0.9997670699192739,0.5,0.07907270053928904,[],real_spectra/Ca2Si3PbO9_1/Ca2Si3PbO9_1.xy,real_spectra/Ca2Si3PbO9_1/Ca2Si3PbO9_1.cif
Ca2UC3O22_41,RRUFF,RRUFF:R050662-1,R050662-1,RRUFF:R050662-1,rruff__R050662-1,https://rruff.info/R050662,inferred_from_rruff_id,Ca2UC3O22,Ca2UC3O22,Ca2UC3O22,41,orthorhombic,rruff_amcsd_0015691,C3|Ca2|O22|U1::sg::41,rruff,fit_quality_filtered,40.69286645949272,40.967410462737355,0.8389979356036011,0.875,0.4185008676396947,[],real_spectra/Ca2UC3O22_41/Ca2UC3O22_41.xy,real_spectra/Ca2UC3O22_41/Ca2UC3O22_41.cif
