query_id,eval_id,sample_name,target_formula,target_formula_key,formula_group_id,target_space_group,target_space_group_symbol,target_crystal_system,target_phase_id,target_database,target_database_id,target_cif_path,mapping_basis,notes
rruff__R050461-1,RRUFF:R050461-1,AlP(H2O3)2_14,AlP(H2O3)2,AlP(H2O3)2,Al1|H4|O6|P1::sg::14,14,P2_1/c,monoclinic,rruff_amcsd_0009488,rruff,rruff_amcsd_0009488,real_spectra/AlP(H2O3)2_14/AlP(H2O3)2_14.cif,benchmark_target_mapping,Target CIF path is relative to this release.
rruff__R050383-1,RRUFF:R050383-1,As2O3_227,As2O3,As2O3,As2|O3::sg::227,227,Fd-3m,cubic,rruff_amcsd_0011094,rruff,rruff_amcsd_0011094,real_spectra/As2O3_227/As2O3_227.cif,benchmark_target_mapping,Target CIF path is relative to this release.
opxrd__000277,opXRD:000277,As2S3_1,As2S3,As2S3,As2|S3::sg::1,1,P1,triclinic,opxrd_000089,opxrd,000089,real_spectra/As2S3_1/As2S3_1.cif,benchmark_target_mapping,Target CIF path is relative to this release.
rruff__R050365-1,RRUFF:R050365-1,As4(Pb3S5)3_160,As4(Pb3S5)3,As4(Pb3S5)3,As4|Pb9|S15::sg::160,160,R3m,trigonal_hex,rruff_amcsd_0010673,rruff,rruff_amcsd_0010673,real_spectra/As4(Pb3S5)3_160/As4(Pb3S5)3_160.cif,benchmark_target_mapping,Target CIF path is relative to this release.
rruff__R060107-1,RRUFF:R060107-1,AsS_14,AsS,AsS,As1|S1::sg::14,14,P2_1/c,monoclinic,rruff_amcsd_0003933,rruff,rruff_amcsd_0003933,real_spectra/AsS_14/AsS_14.cif,benchmark_target_mapping,Target CIF path is relative to this release.
rruff__R070279-1,RRUFF:R070279-1,Au_225,Au,Au,Au1::sg::225,225,Fm-3m,cubic,rruff_amcsd_0011140,rruff,rruff_amcsd_0011140,real_spectra/Au_225/Au_225.cif,benchmark_target_mapping,Target CIF path is relative to this release.
opxrd__000599,opXRD:000599,BaBeSiO4_1,BaBeSiO4,BaBeSiO4,Ba1|Be1|O4|Si1::sg::1,1,P1,triclinic,opxrd_000356,opxrd,000356,real_spectra/BaBeSiO4_1/BaBeSiO4_1.cif,benchmark_target_mapping,Target CIF path is relative to this release.
opxrd__000192,opXRD:000192,BaCa(CO2)2_1,BaCa(CO2)2,BaCa(CO2)2,Ba1|C2|Ca1|O4::sg::1,1,P1,triclinic,opxrd_000192,opxrd,000192,real_spectra/BaCa(CO2)2_1/BaCa(CO2)2_1.cif,benchmark_target_mapping,Target CIF path is relative to this release.
rruff__R040036-1,RRUFF:R040036-1,BaSO4_62,BaSO4,BaSO4,Ba1|O4|S1::sg::62,62,Pnma,orthorhombic,rruff_amcsd_0000164,rruff,rruff_amcsd_0000164,real_spectra/BaSO4_62/BaSO4_62.cif,benchmark_target_mapping,Target CIF path is relative to this release.
rruff__R050001-1,RRUFF:R050001-1,BaSi2O5_62,BaSi2O5,BaSi2O5,Ba1|O5|Si2::sg::62,62,Pnma,orthorhombic,rruff_amcsd_0000085,rruff,rruff_amcsd_0000085,real_spectra/BaSi2O5_62/BaSi2O5_62.cif,benchmark_target_mapping,Target CIF path is relative to this release.
rruff__R050672-1,RRUFF:R050672-1,Be2BHO4_61,Be2BHO4,Be2BHO4,B1|Be2|H1|O4::sg::61,61,Pbca,orthorhombic,rruff_amcsd_0005470,rruff,rruff_amcsd_0005470,real_spectra/Be2BHO4_61/Be2BHO4_61.cif,benchmark_target_mapping,Target CIF path is relative to this release.
rruff__R070480-1,RRUFF:R070480-1,Be2PO9_15,Be2PO9,Be2PO9,Be2|O9|P1::sg::15,15,C2/c,monoclinic,rruff_amcsd_0011025,rruff,rruff_amcsd_0011025,real_spectra/Be2PO9_15/Be2PO9_15.cif,benchmark_target_mapping,Target CIF path is relative to this release.
rruff__R040046-1,RRUFF:R040046-1,Be2SiO4_148,Be2SiO4,Be2SiO4,Be2|O4|Si1::sg::148,148,R-3,trigonal_hex,rruff_amcsd_0001110,rruff,rruff_amcsd_0001110,real_spectra/Be2SiO4_148/Be2SiO4_148.cif,benchmark_target_mapping,Target CIF path is relative to this release.
rruff__R050121-1,RRUFF:R050121-1,Be3Al2(SiO3)6_192,Be3Al2(SiO3)6,Be3Al2(SiO3)6,Al2|Be3|O18|Si6::sg::192,192,P6/mcc,hexagonal,rruff_amcsd_0001040,rruff,rruff_amcsd_0001040,real_spectra/Be3Al2(SiO3)6_192/Be3Al2(SiO3)6_192.cif,benchmark_target_mapping,Target CIF path is relative to this release.
rruff__R040073-1,RRUFF:R040073-1,BeAl2O4_62,BeAl2O4,BeAl2O4,Al2|Be1|O4::sg::62,62,Pnma,orthorhombic,rruff_amcsd_0000124,rruff,rruff_amcsd_0000124,real_spectra/BeAl2O4_62/BeAl2O4_62.cif,benchmark_target_mapping,Target CIF path is relative to this release.
opxrd__000996,opXRD:000996,BeAlSiO2_1,BeAlSiO2,BeAlSiO2,Al1|Be1|O2|Si1::sg::1,1,P1,triclinic,opxrd_000996,opxrd,000996,real_spectra/BeAlSiO2_1/BeAlSiO2_1.cif,benchmark_target_mapping,Target CIF path is relative to this release.
rruff__R060665-1,RRUFF:R060665-1,Bi2CO5_44,Bi2CO5,Bi2CO5,Bi2|C1|O5::sg::44,44,Imm2,orthorhombic,rruff_amcsd_0005770,rruff,rruff_amcsd_0005770,real_spectra/Bi2CO5_44/Bi2CO5_44.cif,benchmark_target_mapping,Target CIF path is relative to this release.
rruff__R060860-1,RRUFF:R060860-1,Bi2WO6_29,Bi2WO6,Bi2WO6,Bi2|O6|W1::sg::29,29,Pca2_1,orthorhombic,rruff_amcsd_0014496,rruff,rruff_amcsd_0014496,real_spectra/Bi2WO6_29/Bi2WO6_29.cif,benchmark_target_mapping,Target CIF path is relative to this release.
opxrd__000169,opXRD:000169,C_1,C,C,C1::sg::1,1,P1,triclinic,opxrd_000169,opxrd,000169,real_spectra/C_1/C_1.cif,benchmark_target_mapping,Target CIF path is relative to this release.
rruff__R050157-1,RRUFF:R050157-1,Ca(BO4)3_14,Ca(BO4)3,Ca(BO4)3,B3|Ca1|O12::sg::14,14,P2_1/c,monoclinic,rruff_amcsd_0009226,rruff,rruff_amcsd_0009226,real_spectra/Ca(BO4)3_14/Ca(BO4)3_14.cif,benchmark_target_mapping,Target CIF path is relative to this release.
rruff__R060150-1,RRUFF:R060150-1,Ca13Si10H12(O17F5)2_148,Ca13Si10H12(O17F5)2,Ca13Si10H12(O17F5)2,Ca13|F10|H12|O34|Si10::sg::148,148,R-3,trigonal_hex,rruff_amcsd_0014639,rruff,rruff_amcsd_0014639,real_spectra/Ca13Si10H12(O17F5)2_148/Ca13Si10H12(O17F5)2_148.cif,benchmark_target_mapping,Target CIF path is relative to this release.
rruff__R060841-1,RRUFF:R060841-1,Ca2Al2SiO7_113,Ca2Al2SiO7,Ca2Al2SiO7,Al2|Ca2|O7|Si1::sg::113,113,P-42_1m,tetragonal,rruff_amcsd_0017917,rruff,rruff_amcsd_0017917,real_spectra/Ca2Al2SiO7_113/Ca2Al2SiO7_113.cif,benchmark_target_mapping,Target CIF path is relative to this release.
rruff__R060284-1,RRUFF:R060284-1,Ca2Al3Si3HO13_11,Ca2Al3Si3HO13,Ca2Al3Si3HO13,Al3|Ca2|H1|O13|Si3::sg::11,11,P2_1/m,monoclinic,rruff_amcsd_0000185,rruff,rruff_amcsd_0000185,real_spectra/Ca2Al3Si3HO13_11/Ca2Al3Si3HO13_11.cif,benchmark_target_mapping,Target CIF path is relative to this release.
rruff__R050539-1,RRUFF:R050539-1,Ca2Mn(PO5)2_2,Ca2Mn(PO5)2,Ca2Mn(PO5)2,Ca2|Mn1|O10|P2::sg::2,2,P-1,triclinic,rruff_amcsd_0009374,rruff,rruff_amcsd_0009374,real_spectra/Ca2Mn(PO5)2_2/Ca2Mn(PO5)2_2.cif,benchmark_target_mapping,Target CIF path is relative to this release.
rruff__R060151-1,RRUFF:R060151-1,Ca2Nb2O7_227,Ca2Nb2O7,Ca2Nb2O7,Ca2|Nb2|O7::sg::227,227,Fd-3m,cubic,rruff_amcsd_0018022,rruff,rruff_amcsd_0018022,real_spectra/Ca2Nb2O7_227/Ca2Nb2O7_227.cif,benchmark_target_mapping,Target CIF path is relative to this release.
opxrd__000184,opXRD:000184,Ca2Si3PbO9_1,Ca2Si3PbO9,Ca2Si3PbO9,Ca2|O9|Pb1|Si3::sg::1,1,P1,triclinic,opxrd_000184,opxrd,000184,real_spectra/Ca2Si3PbO9_1/Ca2Si3PbO9_1.cif,benchmark_target_mapping,Target CIF path is relative to this release.
rruff__R050662-1,RRUFF:R050662-1,Ca2UC3O22_41,Ca2UC3O22,Ca2UC3O22,C3|Ca2|O22|U1::sg::41,41,Aea2,orthorhombic,rruff_amcsd_0015691,rruff,rruff_amcsd_0015691,real_spectra/Ca2UC3O22_41/Ca2UC3O22_41.cif,benchmark_target_mapping,Target CIF path is relative to this release.
rruff__R040026-1,RRUFF:R040026-1,Ca2ZnSi2O7_113,Ca2ZnSi2O7,Ca2ZnSi2O7,Ca2|O7|Si2|Zn1::sg::113,113,P-42_1m,tetragonal,rruff_amcsd_0010703,rruff,rruff_amcsd_0010703,real_spectra/Ca2ZnSi2O7_113/Ca2ZnSi2O7_113.cif,benchmark_target_mapping,Target CIF path is relative to this release.
rruff__R060499-1,RRUFF:R060499-1,Ca3Al2(SiO4)3_230,Ca3Al2(SiO4)3,Ca3Al2(SiO4)3,Al2|Ca3|O12|Si3::sg::230,230,Ia-3d,cubic,rruff_amcsd_0000243,rruff,rruff_amcsd_0000243,real_spectra/Ca3Al2(SiO4)3_230/Ca3Al2(SiO4)3_230.cif,benchmark_target_mapping,Target CIF path is relative to this release.
rruff__R050141-1,RRUFF:R050141-1,Ca3Al2H6S(OF)8_15,Ca3Al2H6S(OF)8,Ca3Al2H6S(OF)8,Al2|Ca3|F8|H6|O8|S1::sg::15,15,C2/c,monoclinic,rruff_amcsd_0014772,rruff,rruff_amcsd_0014772,real_spectra/Ca3Al2H6S(OF)8_15/Ca3Al2H6S(OF)8_15.cif,benchmark_target_mapping,Target CIF path is relative to this release.
rruff__R060685-1,RRUFF:R060685-1,Ca3B6(H4O5)4_15,Ca3B6(H4O5)4,Ca3B6(H4O5)4,B6|Ca3|H16|O20::sg::15,15,C2/c,monoclinic,rruff_amcsd_0015605,rruff,rruff_amcsd_0015605,real_spectra/Ca3B6(H4O5)4_15/Ca3B6(H4O5)4_15.cif,benchmark_target_mapping,Target CIF path is relative to this release.
rruff__R061041-1,RRUFF:R061041-1,Ca3Cr2(SiO4)3_230,Ca3Cr2(SiO4)3,Ca3Cr2(SiO4)3,Ca3|Cr2|O12|Si3::sg::230,230,Ia-3d,cubic,rruff_amcsd_0008734,rruff,rruff_amcsd_0008734,real_spectra/Ca3Cr2(SiO4)3_230/Ca3Cr2(SiO4)3_230.cif,benchmark_target_mapping,Target CIF path is relative to this release.
rruff__R060358-1,RRUFF:R060358-1,Ca3Fe2(SiO4)3_230,Ca3Fe2(SiO4)3,Ca3Fe2(SiO4)3,Ca3|Fe2|O12|Si3::sg::230,230,Ia-3d,cubic,rruff_amcsd_0000246,rruff,rruff_amcsd_0000246,real_spectra/Ca3Fe2(SiO4)3_230/Ca3Fe2(SiO4)3_230.cif,benchmark_target_mapping,Target CIF path is relative to this release.
rruff__R070195-1,RRUFF:R070195-1,Ca3Mg(SiO4)2_14,Ca3Mg(SiO4)2,Ca3Mg(SiO4)2,Ca3|Mg1|O8|Si2::sg::14,14,P2_1/c,monoclinic,rruff_amcsd_0000294,rruff,rruff_amcsd_0000294,real_spectra/Ca3Mg(SiO4)2_14/Ca3Mg(SiO4)2_14.cif,benchmark_target_mapping,Target CIF path is relative to this release.
opxrd__001171,opXRD:001171,Ca3MnSi2Pb2O7_1,Ca3MnSi2Pb2O7,Ca3MnSi2Pb2O7,Ca3|Mn1|O7|Pb2|Si2::sg::1,1,P1,triclinic,opxrd_001171,opxrd,001171,real_spectra/Ca3MnSi2Pb2O7_1/Ca3MnSi2Pb2O7_1.cif,benchmark_target_mapping,Target CIF path is relative to this release.
opxrd__000766,opXRD:000766,Ca4Si3O10_1,Ca4Si3O10,Ca4Si3O10,Ca4|O10|Si3::sg::1,1,P1,triclinic,opxrd_000766,opxrd,000766,real_spectra/Ca4Si3O10_1/Ca4Si3O10_1.cif,benchmark_target_mapping,Target CIF path is relative to this release.
opxrd__000419,opXRD:000419,Ca5(SiO3)3_1,Ca5(SiO3)3,Ca5(SiO3)3,Ca5|O9|Si3::sg::1,1,P1,triclinic,opxrd_000419,opxrd,000419,real_spectra/Ca5(SiO3)3_1/Ca5(SiO3)3_1.cif,benchmark_target_mapping,Target CIF path is relative to this release.
opxrd__000914,opXRD:000914,Ca5As3O12F_1,Ca5As3O12F,Ca5As3O12F,As3|Ca5|F1|O12::sg::1,1,P1,triclinic,opxrd_000914,opxrd,000914,real_spectra/Ca5As3O12F_1/Ca5As3O12F_1.cif,benchmark_target_mapping,Target CIF path is relative to this release.
rruff__R060192-1,RRUFF:R060192-1,Ca5P3ClO12_176,Ca5P3ClO12,Ca5P3ClO12,Ca5|Cl1|O12|P3::sg::176,176,P6_3/m,hexagonal,rruff_amcsd_0017642,rruff,rruff_amcsd_0017642,real_spectra/Ca5P3ClO12_176/Ca5P3ClO12_176.cif,benchmark_target_mapping,Target CIF path is relative to this release.
rruff__R050529-1,RRUFF:R050529-1,Ca5P3O12F_176,Ca5P3O12F,Ca5P3O12F,Ca5|F1|O12|P3::sg::176,176,P6_3/m,hexagonal,rruff_amcsd_0001256,rruff,rruff_amcsd_0001256,real_spectra/Ca5P3O12F_176/Ca5P3O12F_176.cif,benchmark_target_mapping,Target CIF path is relative to this release.
rruff__R050227-1,RRUFF:R050227-1,Ca5Si2C2O13_14,Ca5Si2C2O13,Ca5Si2C2O13,C2|Ca5|O13|Si2::sg::14,14,P2_1/c,monoclinic,rruff_amcsd_0006060,rruff,rruff_amcsd_0006060,real_spectra/Ca5Si2C2O13_14/Ca5Si2C2O13_14.cif,benchmark_target_mapping,Target CIF path is relative to this release.
rruff__R050236-1,RRUFF:R050236-1,Ca5Si2CO11_14,Ca5Si2CO11,Ca5Si2CO11,C1|Ca5|O11|Si2::sg::14,14,P2_1/c,monoclinic,rruff_amcsd_0006059,rruff,rruff_amcsd_0006059,real_spectra/Ca5Si2CO11_14/Ca5Si2CO11_14.cif,benchmark_target_mapping,Target CIF path is relative to this release.
rruff__R070713-1,RRUFF:R070713-1,Ca6MnSi6Pb2(SO16)2_12,Ca6MnSi6Pb2(SO16)2,Ca6MnSi6Pb2(SO16)2,Ca6|Mn1|O32|Pb2|S2|Si6::sg::12,12,C2/m,monoclinic,rruff_amcsd_0000963,rruff,rruff_amcsd_0000963,real_spectra/Ca6MnSi6Pb2(SO16)2_12/Ca6MnSi6Pb2(SO16)2_12.cif,benchmark_target_mapping,Target CIF path is relative to this release.
opxrd__000334,opXRD:000334,Ca7NbSi4O17F_1,Ca7NbSi4O17F,Ca7NbSi4O17F,Ca7|F1|Nb1|O17|Si4::sg::1,1,P1,triclinic,opxrd_000334,opxrd,000334,real_spectra/Ca7NbSi4O17F_1/Ca7NbSi4O17F_1.cif,benchmark_target_mapping,Target CIF path is relative to this release.
rruff__R050668-1,RRUFF:R050668-1,CaAl2(OF)4_15,CaAl2(OF)4,CaAl2(OF)4,Al2|Ca1|F4|O4::sg::15,15,C2/c,monoclinic,rruff_amcsd_0012448,rruff,rruff_amcsd_0012448,real_spectra/CaAl2(OF)4_15/CaAl2(OF)4_15.cif,benchmark_target_mapping,Target CIF path is relative to this release.
rruff__R060275-1,RRUFF:R060275-1,CaAl2(SiO4)2_2,CaAl2(SiO4)2,CaAl2(SiO4)2,Al2|Ca1|O8|Si2::sg::2,2,P-1,triclinic,rruff_amcsd_0000370,rruff,rruff_amcsd_0000370,real_spectra/CaAl2(SiO4)2_2/CaAl2(SiO4)2_2.cif,benchmark_target_mapping,Target CIF path is relative to this release.
opxrd__000683,opXRD:000683,CaAl2Si2H5O11_1,CaAl2Si2H5O11,CaAl2Si2H5O11,Al2|Ca1|H5|O11|Si2::sg::1,1,P1,triclinic,opxrd_000683,opxrd,000683,real_spectra/CaAl2Si2H5O11_1/CaAl2Si2H5O11_1.cif,benchmark_target_mapping,Target CIF path is relative to this release.
rruff__R070640-1,RRUFF:R070640-1,CaAlB3O7_67,CaAlB3O7,CaAlB3O7,Al1|B3|Ca1|O7::sg::67,67,Cmme,orthorhombic,rruff_amcsd_0007267,rruff,rruff_amcsd_0007267,real_spectra/CaAlB3O7_67/CaAlB3O7_67.cif,benchmark_target_mapping,Target CIF path is relative to this release.
rruff__R050397-1,RRUFF:R050397-1,CaAlSiHO5_19,CaAlSiHO5,CaAlSiHO5,Al1|Ca1|H1|O5|Si1::sg::19,19,P2_12_12_1,orthorhombic,rruff_amcsd_0000525,rruff,rruff_amcsd_0000525,real_spectra/CaAlSiHO5_19/CaAlSiHO5_19.cif,benchmark_target_mapping,Target CIF path is relative to this release.
rruff__R050671-1,RRUFF:R050671-1,CaB3H7O9_2,CaB3H7O9,CaB3H7O9,B3|Ca1|H7|O9::sg::2,2,P-1,triclinic,rruff_amcsd_0005296,rruff,rruff_amcsd_0005296,real_spectra/CaB3H7O9_2/CaB3H7O9_2.cif,benchmark_target_mapping,Target CIF path is relative to this release.
rruff__R050520-1,RRUFF:R050520-1,CaBePO5_14,CaBePO5,CaBePO5,Be1|Ca1|O5|P1::sg::14,14,P2_1/c,monoclinic,rruff_amcsd_0000413,rruff,rruff_amcsd_0000413,real_spectra/CaBePO5_14/CaBePO5_14.cif,benchmark_target_mapping,Target CIF path is relative to this release.
rruff__R050128-1,RRUFF:R050128-1,CaCO3_167,CaCO3,CaCO3,C1|Ca1|O3::sg::167,167,R-3c,trigonal_hex,rruff_amcsd_0000098,rruff,rruff_amcsd_0000098,real_spectra/CaCO3_167/CaCO3_167.cif,benchmark_target_mapping,Target CIF path is relative to this release.
rruff__R040078-1,RRUFF:R040078-1,CaCO3_62,CaCO3,CaCO3,C1|Ca1|O3::sg::62,62,Pnma,orthorhombic,rruff_amcsd_0000233,rruff,rruff_amcsd_0000233,real_spectra/CaCO3_62/CaCO3_62.cif,benchmark_target_mapping,Target CIF path is relative to this release.
opxrd__000699,opXRD:000699,CaCu2SiH2O5_1,CaCu2SiH2O5,CaCu2SiH2O5,Ca1|Cu2|H2|O5|Si1::sg::1,1,P1,triclinic,opxrd_000699,opxrd,000699,real_spectra/CaCu2SiH2O5_1/CaCu2SiH2O5_1.cif,benchmark_target_mapping,Target CIF path is relative to this release.
opxrd__000535,opXRD:000535,CaCuB(HO)6_1,CaCuB(HO)6,CaCuB(HO)6,B1|Ca1|Cu1|H6|O6::sg::1,1,P1,triclinic,opxrd_000535,opxrd,000535,real_spectra/CaCuB(HO)6_1/CaCuB(HO)6_1.cif,benchmark_target_mapping,Target CIF path is relative to this release.
