query_id,eval_id,sample_name,subset,source_type,source_database,source_origin,source_id,original_url,original_url_note,formula,formula_sum_from_cif,space_group,space_group_symbol,crystal_system,phase_id,target_phase_id,candidate_source_origin,spectrum_path,cif_path,json_path,theta_min_deg,theta_max_deg,num_points,intensity_min,intensity_max,is_real_spectrum,is_generated_spectrum,is_diagnostic_example,fit_status,warning_flags,notes
rruff__R050239-1,RRUFF:R050239-1,Al2PO8_33,real_spectra,experimental,RRUFF,rruff,R050239-1,https://rruff.info/R050239,inferred_from_rruff_id,Al2PO8,Al8 P4 O32,33,Pna2_1,orthorhombic,rruff_amcsd_0000752,rruff_amcsd_0000752,rruff,real_spectra/Al2PO8_33/Al2PO8_33.xy,real_spectra/Al2PO8_33/Al2PO8_33.cif,,5.0,90.0,8501,2.0,1108.0,true,false,false,fit_quality_filtered,[],Real experimental spectrum with curated source mapping.
rruff__R050176-1,RRUFF:R050176-1,Al2Si(O2F)2_62,real_spectra,experimental,RRUFF,rruff,R050176-1,https://rruff.info/R050176,inferred_from_rruff_id,Al2Si(O2F)2,Al8 Si4 O16 F8,62,Pnma,orthorhombic,rruff_amcsd_0001642,rruff_amcsd_0001642,rruff,real_spectra/Al2Si(O2F)2_62/Al2Si(O2F)2_62.xy,real_spectra/Al2Si(O2F)2_62/Al2Si(O2F)2_62.cif,,5.0,90.0,8501,1.0,2066.0,true,false,false,fit_quality_filtered,[],Real experimental spectrum with curated source mapping.
rruff__R040119-1,RRUFF:R040119-1,Al2SiO5_2,real_spectra,experimental,RRUFF,rruff,R040119-1,https://rruff.info/R040119,inferred_from_rruff_id,Al2SiO5,Al8 Si4 O20,2,P-1,triclinic,rruff_amcsd_0000733,rruff_amcsd_0000733,rruff,real_spectra/Al2SiO5_2/Al2SiO5_2.xy,real_spectra/Al2SiO5_2/Al2SiO5_2.cif,,5.0,89.99,8500,2.0,1334.0,true,false,false,fit_quality_filtered,[],Real experimental spectrum with curated source mapping.
rruff__R050449-1,RRUFF:R050449-1,Al2SiO5_58,real_spectra,experimental,RRUFF,rruff,R050449-1,https://rruff.info/R050449,inferred_from_rruff_id,Al2SiO5,Al8 Si4 O20,58,Pnnm,orthorhombic,rruff_amcsd_0000728,rruff_amcsd_0000728,rruff,real_spectra/Al2SiO5_58/Al2SiO5_58.xy,real_spectra/Al2SiO5_58/Al2SiO5_58.cif,,5.0,90.0,8501,1.0,1253.0,true,false,false,fit_quality_filtered,[],Real experimental spectrum with curated source mapping.
rruff__R060080-1,RRUFF:R060080-1,Al2SiO5_62,real_spectra,experimental,RRUFF,rruff,R060080-1,https://rruff.info/R060080,inferred_from_rruff_id,Al2SiO5,Al8 Si4 O20,62,Pnma,orthorhombic,rruff_amcsd_0000723,rruff_amcsd_0000723,rruff,real_spectra/Al2SiO5_62/Al2SiO5_62.xy,real_spectra/Al2SiO5_62/Al2SiO5_62.cif,,5.0,90.0,8501,1.0,1915.0,true,false,false,fit_quality_filtered,[],Real experimental spectrum with curated source mapping.
rruff__R040027-1,RRUFF:R040027-1,Al2ZnO4_227,real_spectra,experimental,RRUFF,rruff,R040027-1,https://rruff.info/R040027,inferred_from_rruff_id,Al2ZnO4,Al16 Zn8 O32,227,Fd-3m,cubic,rruff_amcsd_0004939,rruff_amcsd_0004939,rruff,real_spectra/Al2ZnO4_227/Al2ZnO4_227.xy,real_spectra/Al2ZnO4_227/Al2ZnO4_227.cif,,5.0,89.99,8500,20.0,2769.0,true,false,false,fit_quality_filtered,[],Real experimental spectrum with curated source mapping.
rruff__R060565-1,RRUFF:R060565-1,Al4Os4SO14_4,real_spectra,experimental,RRUFF,rruff,R060565-1,https://rruff.info/R060565,inferred_from_rruff_id,Al4Os4SO14,Al16 Os16 S4 O56,4,P2_1,monoclinic,rruff_amcsd_0011981,rruff_amcsd_0011981,rruff,real_spectra/Al4Os4SO14_4/Al4Os4SO14_4.xy,real_spectra/Al4Os4SO14_4/Al4Os4SO14_4.cif,,5.0,90.0,8501,6.0,447.0,true,false,false,fit_quality_filtered,[],Real experimental spectrum with curated source mapping.
rruff__R050425-1,RRUFF:R050425-1,Al4P3(HO5)3_15,real_spectra,experimental,RRUFF,rruff,R050425-1,https://rruff.info/R050425,inferred_from_rruff_id,Al4P3(HO5)3,Al16 P12 H12 O60,15,C2/c,monoclinic,rruff_amcsd_0000415,rruff_amcsd_0000415,rruff,real_spectra/Al4P3(HO5)3_15/Al4P3(HO5)3_15.xy,real_spectra/Al4P3(HO5)3_15/Al4P3(HO5)3_15.cif,,5.0,90.0,8501,4.0,1122.0,true,false,false,fit_quality_filtered,[],Real experimental spectrum with curated source mapping.
rruff__R060533-1,RRUFF:R060533-1,Al6B5(O5F)3_176,real_spectra,experimental,RRUFF,rruff,R060533-1,https://rruff.info/R060533,inferred_from_rruff_id,Al6B5(O5F)3,Al12 B10 O30 F6,176,P6_3/m,hexagonal,rruff_amcsd_0010860,rruff_amcsd_0010860,rruff,real_spectra/Al6B5(O5F)3_176/Al6B5(O5F)3_176.xy,real_spectra/Al6B5(O5F)3_176/Al6B5(O5F)3_176.cif,,5.0,90.0,8501,4.0,1070.0,true,false,false,fit_quality_filtered,[],Real experimental spectrum with curated source mapping.
rruff__R060409-1,RRUFF:R060409-1,AlAs(H2O3)2_61,real_spectra,experimental,RRUFF,rruff,R060409-1,https://rruff.info/R060409,inferred_from_rruff_id,AlAs(H2O3)2,Al8 As8 H32 O48,61,Pbca,orthorhombic,rruff_amcsd_0010322,rruff_amcsd_0010322,rruff,real_spectra/AlAs(H2O3)2_61/AlAs(H2O3)2_61.xy,real_spectra/AlAs(H2O3)2_61/AlAs(H2O3)2_61.cif,,5.0,90.0,8501,12.0,1070.0,true,false,false,fit_quality_filtered,[],Real experimental spectrum with curated source mapping.
rruff__R050535-1,RRUFF:R050535-1,AlCu2AsO12_15,real_spectra,experimental,RRUFF,rruff,R050535-1,https://rruff.info/R050535,inferred_from_rruff_id,AlCu2AsO12,Al4 Cu8 As4 O48,15,C2/c,monoclinic,rruff_amcsd_0010249,rruff_amcsd_0010249,rruff,real_spectra/AlCu2AsO12_15/AlCu2AsO12_15.xy,real_spectra/AlCu2AsO12_15/AlCu2AsO12_15.cif,,5.0,90.0,8501,45.0,2274.0,true,false,false,fit_quality_filtered,[],Real experimental spectrum with curated source mapping.
rruff__R060751-1,RRUFF:R060751-1,AlCuH28S2ClO22_2,real_spectra,experimental,RRUFF,rruff,R060751-1,https://rruff.info/R060751,inferred_from_rruff_id,AlCuH28S2ClO22,Al1 Cu1 H28 S2 Cl1 O22,2,P-1,triclinic,rruff_amcsd_0009692,rruff_amcsd_0009692,rruff,real_spectra/AlCuH28S2ClO22_2/AlCuH28S2ClO22_2.xy,real_spectra/AlCuH28S2ClO22_2/AlCuH28S2ClO22_2.cif,,5.0,90.0,8501,8.0,1235.0,true,false,false,fit_quality_filtered,[],Real experimental spectrum with curated source mapping.
rruff__R070574-1,RRUFF:R070574-1,AlH16(C3O7)2_142,real_spectra,experimental,RRUFF,rruff,R070574-1,https://rruff.info/R070574,inferred_from_rruff_id,AlH16(C3O7)2,Al16 H256 C96 O224,142,I4_1/acd,tetragonal,rruff_amcsd_0013713,rruff_amcsd_0013713,rruff,real_spectra/AlH16(C3O7)2_142/AlH16(C3O7)2_142.xy,real_spectra/AlH16(C3O7)2_142/AlH16(C3O7)2_142.cif,,5.0,90.0,8501,10.0,2966.0,true,false,false,fit_quality_filtered,[],Real experimental spectrum with curated source mapping.
rruff__R050461-1,RRUFF:R050461-1,AlP(H2O3)2_14,real_spectra,experimental,RRUFF,rruff,R050461-1,https://rruff.info/R050461,inferred_from_rruff_id,AlP(H2O3)2,Al4 P4 H16 O24,14,P2_1/c,monoclinic,rruff_amcsd_0009488,rruff_amcsd_0009488,rruff,real_spectra/AlP(H2O3)2_14/AlP(H2O3)2_14.xy,real_spectra/AlP(H2O3)2_14/AlP(H2O3)2_14.cif,,5.0,90.0,8501,3.0,1192.0,true,false,false,fit_quality_filtered,[],Real experimental spectrum with curated source mapping.
rruff__R050383-1,RRUFF:R050383-1,As2O3_227,real_spectra,experimental,RRUFF,rruff,R050383-1,https://rruff.info/R050383,inferred_from_rruff_id,As2O3,As32 O48,227,Fd-3m,cubic,rruff_amcsd_0011094,rruff_amcsd_0011094,rruff,real_spectra/As2O3_227/As2O3_227.xy,real_spectra/As2O3_227/As2O3_227.cif,,5.0,90.0,8501,8.0,2145.0,true,false,false,fit_quality_filtered,[],Real experimental spectrum with curated source mapping.
opxrd__000277,opXRD:000277,As2S3_1,real_spectra,experimental,opXRD,opxrd,277,,not_recorded_in_manifest,As2S3,As4 S6,1,P1,triclinic,opxrd_000089,opxrd_000089,opxrd,real_spectra/As2S3_1/As2S3_1.xy,real_spectra/As2S3_1/As2S3_1.cif,,5.0,90.0,8501,0.0,100.0,true,false,false,fit_quality_filtered,"[""marginal_peak_match""]",Real experimental spectrum with curated source mapping.
rruff__R050365-1,RRUFF:R050365-1,As4(Pb3S5)3_160,real_spectra,experimental,RRUFF,rruff,R050365-1,https://rruff.info/R050365,inferred_from_rruff_id,As4(Pb3S5)3,As12 Pb27 S45,160,R3m,trigonal_hex,rruff_amcsd_0010673,rruff_amcsd_0010673,rruff,real_spectra/As4(Pb3S5)3_160/As4(Pb3S5)3_160.xy,real_spectra/As4(Pb3S5)3_160/As4(Pb3S5)3_160.cif,,5.0,90.0,8501,1.0,140.0,true,false,false,fit_quality_filtered,[],Real experimental spectrum with curated source mapping.
rruff__R060107-1,RRUFF:R060107-1,AsS_14,real_spectra,experimental,RRUFF,rruff,R060107-1,https://rruff.info/R060107,inferred_from_rruff_id,AsS,As16 S16,14,P2_1/c,monoclinic,rruff_amcsd_0003933,rruff_amcsd_0003933,rruff,real_spectra/AsS_14/AsS_14.xy,real_spectra/AsS_14/AsS_14.cif,,5.0,90.0,8501,6.0,390.0,true,false,false,fit_quality_filtered,[],Real experimental spectrum with curated source mapping.
rruff__R070279-1,RRUFF:R070279-1,Au_225,real_spectra,experimental,RRUFF,rruff,R070279-1,https://rruff.info/R070279,inferred_from_rruff_id,Au,Au4,225,Fm-3m,cubic,rruff_amcsd_0011140,rruff_amcsd_0011140,rruff,real_spectra/Au_225/Au_225.xy,real_spectra/Au_225/Au_225.cif,,5.0,90.0,8501,6.0,1632.0,true,false,false,fit_quality_filtered,[],Real experimental spectrum with curated source mapping.
opxrd__000599,opXRD:000599,BaBeSiO4_1,real_spectra,experimental,opXRD,opxrd,599,,not_recorded_in_manifest,BaBeSiO4,Ba1 Be1 Si1 O4,1,P1,triclinic,opxrd_000356,opxrd_000356,opxrd,real_spectra/BaBeSiO4_1/BaBeSiO4_1.xy,real_spectra/BaBeSiO4_1/BaBeSiO4_1.cif,,5.0,90.0,8501,0.0,100.0,true,false,false,fit_quality_filtered,"[""marginal_peak_match""]",Real experimental spectrum with curated source mapping.
opxrd__000192,opXRD:000192,BaCa(CO2)2_1,real_spectra,experimental,opXRD,opxrd,192,,not_recorded_in_manifest,BaCa(CO2)2,Ba1 Ca1 C2 O4,1,P1,triclinic,opxrd_000192,opxrd_000192,opxrd,real_spectra/BaCa(CO2)2_1/BaCa(CO2)2_1.xy,real_spectra/BaCa(CO2)2_1/BaCa(CO2)2_1.cif,,5.0,90.0,8501,0.0,100.0,true,false,false,fit_quality_filtered,"[""marginal_peak_match""]",Real experimental spectrum with curated source mapping.
rruff__R040036-1,RRUFF:R040036-1,BaSO4_62,real_spectra,experimental,RRUFF,rruff,R040036-1,https://rruff.info/R040036,inferred_from_rruff_id,BaSO4,Ba4 S4 O16,62,Pnma,orthorhombic,rruff_amcsd_0000164,rruff_amcsd_0000164,rruff,real_spectra/BaSO4_62/BaSO4_62.xy,real_spectra/BaSO4_62/BaSO4_62.cif,,5.0,89.99,8500,0.0,393.0,true,false,false,fit_quality_filtered,[],Real experimental spectrum with curated source mapping.
rruff__R050001-1,RRUFF:R050001-1,BaSi2O5_62,real_spectra,experimental,RRUFF,rruff,R050001-1,https://rruff.info/R050001,inferred_from_rruff_id,BaSi2O5,Ba4 Si8 O20,62,Pnma,orthorhombic,rruff_amcsd_0000085,rruff_amcsd_0000085,rruff,real_spectra/BaSi2O5_62/BaSi2O5_62.xy,real_spectra/BaSi2O5_62/BaSi2O5_62.cif,,5.0,90.0,8501,0.0,570.0,true,false,false,fit_quality_filtered,[],Real experimental spectrum with curated source mapping.
rruff__R050672-1,RRUFF:R050672-1,Be2BHO4_61,real_spectra,experimental,RRUFF,rruff,R050672-1,https://rruff.info/R050672,inferred_from_rruff_id,Be2BHO4,Be16 B8 H8 O32,61,Pbca,orthorhombic,rruff_amcsd_0005470,rruff_amcsd_0005470,rruff,real_spectra/Be2BHO4_61/Be2BHO4_61.xy,real_spectra/Be2BHO4_61/Be2BHO4_61.cif,,5.0,90.0,8501,9.0,1561.0,true,false,false,fit_quality_filtered,[],Real experimental spectrum with curated source mapping.
rruff__R070480-1,RRUFF:R070480-1,Be2PO9_15,real_spectra,experimental,RRUFF,rruff,R070480-1,https://rruff.info/R070480,inferred_from_rruff_id,Be2PO9,Be8 P4 O36,15,C2/c,monoclinic,rruff_amcsd_0011025,rruff_amcsd_0011025,rruff,real_spectra/Be2PO9_15/Be2PO9_15.xy,real_spectra/Be2PO9_15/Be2PO9_15.cif,,5.0,90.0,8501,8.0,2333.0,true,false,false,fit_quality_filtered,[],Real experimental spectrum with curated source mapping.
rruff__R040046-1,RRUFF:R040046-1,Be2SiO4_148,real_spectra,experimental,RRUFF,rruff,R040046-1,https://rruff.info/R040046,inferred_from_rruff_id,Be2SiO4,Be36 Si18 O72,148,R-3,trigonal_hex,rruff_amcsd_0001110,rruff_amcsd_0001110,rruff,real_spectra/Be2SiO4_148/Be2SiO4_148.xy,real_spectra/Be2SiO4_148/Be2SiO4_148.cif,,5.0,89.99,8500,3.0,1447.0,true,false,false,fit_quality_filtered,[],Real experimental spectrum with curated source mapping.
rruff__R050121-1,RRUFF:R050121-1,Be3Al2(SiO3)6_192,real_spectra,experimental,RRUFF,rruff,R050121-1,https://rruff.info/R050121,inferred_from_rruff_id,Be3Al2(SiO3)6,Be6 Al4 Si12 O36,192,P6/mcc,hexagonal,rruff_amcsd_0001040,rruff_amcsd_0001040,rruff,real_spectra/Be3Al2(SiO3)6_192/Be3Al2(SiO3)6_192.xy,real_spectra/Be3Al2(SiO3)6_192/Be3Al2(SiO3)6_192.cif,,5.0,90.0,8501,1.0,5466.0,true,false,false,fit_quality_filtered,[],Real experimental spectrum with curated source mapping.
rruff__R040073-1,RRUFF:R040073-1,BeAl2O4_62,real_spectra,experimental,RRUFF,rruff,R040073-1,https://rruff.info/R040073,inferred_from_rruff_id,BeAl2O4,Be4 Al8 O16,62,Pnma,orthorhombic,rruff_amcsd_0000124,rruff_amcsd_0000124,rruff,real_spectra/BeAl2O4_62/BeAl2O4_62.xy,real_spectra/BeAl2O4_62/BeAl2O4_62.cif,,5.0,89.99,8500,6.0,948.0,true,false,false,fit_quality_filtered,[],Real experimental spectrum with curated source mapping.
opxrd__000996,opXRD:000996,BeAlSiO2_1,real_spectra,experimental,opXRD,opxrd,996,,not_recorded_in_manifest,BeAlSiO2,Be1 Al1 Si1 O2,1,P1,triclinic,opxrd_000996,opxrd_000996,opxrd,real_spectra/BeAlSiO2_1/BeAlSiO2_1.xy,real_spectra/BeAlSiO2_1/BeAlSiO2_1.cif,,5.0,90.0,8501,1.0,5466.0,true,false,false,fit_quality_filtered,[],Real experimental spectrum with curated source mapping.
rruff__R060665-1,RRUFF:R060665-1,Bi2CO5_44,real_spectra,experimental,RRUFF,rruff,R060665-1,https://rruff.info/R060665,inferred_from_rruff_id,Bi2CO5,Bi4 C2 O10,44,Imm2,orthorhombic,rruff_amcsd_0005770,rruff_amcsd_0005770,rruff,real_spectra/Bi2CO5_44/Bi2CO5_44.xy,real_spectra/Bi2CO5_44/Bi2CO5_44.cif,,5.0,90.0,8501,0.0,224.0,true,false,false,fit_quality_filtered,[],Real experimental spectrum with curated source mapping.
rruff__R060860-1,RRUFF:R060860-1,Bi2WO6_29,real_spectra,experimental,RRUFF,rruff,R060860-1,https://rruff.info/R060860,inferred_from_rruff_id,Bi2WO6,Bi8 W4 O24,29,Pca2_1,orthorhombic,rruff_amcsd_0014496,rruff_amcsd_0014496,rruff,real_spectra/Bi2WO6_29/Bi2WO6_29.xy,real_spectra/Bi2WO6_29/Bi2WO6_29.cif,,5.0,90.0,8501,0.0,234.0,true,false,false,fit_quality_filtered,[],Real experimental spectrum with curated source mapping.
opxrd__000169,opXRD:000169,C_1,real_spectra,experimental,opXRD,opxrd,169,,not_recorded_in_manifest,C,C19,1,P1,triclinic,opxrd_000169,opxrd_000169,opxrd,real_spectra/C_1/C_1.xy,real_spectra/C_1/C_1.cif,,5.0,90.0,8501,0.0,100.0,true,false,false,fit_quality_filtered,"[""marginal_peak_match""]",Real experimental spectrum with curated source mapping.
rruff__R050157-1,RRUFF:R050157-1,Ca(BO4)3_14,real_spectra,experimental,RRUFF,rruff,R050157-1,https://rruff.info/R050157,inferred_from_rruff_id,Ca(BO4)3,Ca4 B12 O48,14,P2_1/c,monoclinic,rruff_amcsd_0009226,rruff_amcsd_0009226,rruff,real_spectra/Ca(BO4)3_14/Ca(BO4)3_14.xy,real_spectra/Ca(BO4)3_14/Ca(BO4)3_14.cif,,5.0,90.0,8501,0.0,1199.0,true,false,false,fit_quality_filtered,[],Real experimental spectrum with curated source mapping.
rruff__R060150-1,RRUFF:R060150-1,Ca13Si10H12(O17F5)2_148,real_spectra,experimental,RRUFF,rruff,R060150-1,https://rruff.info/R060150,inferred_from_rruff_id,Ca13Si10H12(O17F5)2,Ca39 Si30 H36 O102 F30,148,R-3,trigonal_hex,rruff_amcsd_0014639,rruff_amcsd_0014639,rruff,real_spectra/Ca13Si10H12(O17F5)2_148/Ca13Si10H12(O17F5)2_148.xy,real_spectra/Ca13Si10H12(O17F5)2_148/Ca13Si10H12(O17F5)2_148.cif,,5.0,90.0,8501,0.0,2962.0,true,false,false,fit_quality_filtered,[],Real experimental spectrum with curated source mapping.
rruff__R060841-1,RRUFF:R060841-1,Ca2Al2SiO7_113,real_spectra,experimental,RRUFF,rruff,R060841-1,https://rruff.info/R060841,inferred_from_rruff_id,Ca2Al2SiO7,Ca4 Al4 Si2 O14,113,P-42_1m,tetragonal,rruff_amcsd_0017917,rruff_amcsd_0017917,rruff,real_spectra/Ca2Al2SiO7_113/Ca2Al2SiO7_113.xy,real_spectra/Ca2Al2SiO7_113/Ca2Al2SiO7_113.cif,,5.0,90.0,8501,4.0,389.0,true,false,false,fit_quality_filtered,[],Real experimental spectrum with curated source mapping.
rruff__R060284-1,RRUFF:R060284-1,Ca2Al3Si3HO13_11,real_spectra,experimental,RRUFF,rruff,R060284-1,https://rruff.info/R060284,inferred_from_rruff_id,Ca2Al3Si3HO13,Ca4 Al6 Si6 H2 O26,11,P2_1/m,monoclinic,rruff_amcsd_0000185,rruff_amcsd_0000185,rruff,real_spectra/Ca2Al3Si3HO13_11/Ca2Al3Si3HO13_11.xy,real_spectra/Ca2Al3Si3HO13_11/Ca2Al3Si3HO13_11.cif,,5.0,90.0,8501,4.0,270.0,true,false,false,fit_quality_filtered,[],Real experimental spectrum with curated source mapping.
rruff__R050539-1,RRUFF:R050539-1,Ca2Mn(PO5)2_2,real_spectra,experimental,RRUFF,rruff,R050539-1,https://rruff.info/R050539,inferred_from_rruff_id,Ca2Mn(PO5)2,Ca2 Mn1 P2 O10,2,P-1,triclinic,rruff_amcsd_0009374,rruff_amcsd_0009374,rruff,real_spectra/Ca2Mn(PO5)2_2/Ca2Mn(PO5)2_2.xy,real_spectra/Ca2Mn(PO5)2_2/Ca2Mn(PO5)2_2.cif,,5.0,90.0,8501,13.0,217.0,true,false,false,fit_quality_filtered,[],Real experimental spectrum with curated source mapping.
rruff__R060151-1,RRUFF:R060151-1,Ca2Nb2O7_227,real_spectra,experimental,RRUFF,rruff,R060151-1,https://rruff.info/R060151,inferred_from_rruff_id,Ca2Nb2O7,Ca16 Nb16 O56,227,Fd-3m,cubic,rruff_amcsd_0018022,rruff_amcsd_0018022,rruff,real_spectra/Ca2Nb2O7_227/Ca2Nb2O7_227.xy,real_spectra/Ca2Nb2O7_227/Ca2Nb2O7_227.cif,,5.0,90.0,8501,0.0,964.0,true,false,false,fit_quality_filtered,[],Real experimental spectrum with curated source mapping.
opxrd__000184,opXRD:000184,Ca2Si3PbO9_1,real_spectra,experimental,opXRD,opxrd,184,,not_recorded_in_manifest,Ca2Si3PbO9,Ca2 Si3 Pb1 O9,1,P1,triclinic,opxrd_000184,opxrd_000184,opxrd,real_spectra/Ca2Si3PbO9_1/Ca2Si3PbO9_1.xy,real_spectra/Ca2Si3PbO9_1/Ca2Si3PbO9_1.cif,,5.0,90.0,8501,0.0,100.0,true,false,false,fit_quality_filtered,[],Real experimental spectrum with curated source mapping.
